url,old_title,new_title,title_len,desc_len,baseline_impressions,baseline_clicks,baseline_ctr,rewritten_on,review_day
/kilimanjaro/7-day-machame-route,7-Day Machame – Kilimanjaro Climb,"Machame Route, 7 Days — from $2,180 · Trust Tours",49,156,~75 (query 'machame route'),0,0%,2026-07-18,D28
/kilimanjaro/8-day-lemosho-route,8-Day Lemosho – Kilimanjaro Climb,"Lemosho Route, 8 Days — from $2,180 · Trust Tours",49,158,low,0,0%,2026-07-18,D28
/kilimanjaro/9-day-northern-circuit,9-Day Northern Circuit – Kilimanjaro Climb,"Northern Circuit, 9 Days — from $2,497 · Trust Tours",52,146,low,0,0%,2026-07-18,D28
/kilimanjaro/6-day-marangu-route,6-Day Marangu – Kilimanjaro Climb,"Marangu Route, 6 Days — from $1,580 · Trust Tours",49,140,low,0,0%,2026-07-18,D28
/safaris/7-day-great-migration-safari,7-Day Migration Safari – Tanzania Safari,"Great Migration Safari, 7 Days — from $2,200",44,147,low,0,0%,2026-07-18,D28
/safaris/8-day-great-migration-safari,8-Day Migration Safari – Tanzania Safari,"8-Day Migration Safari — from $3,250 · Trust Tours",50,153,low,0,0%,2026-07-18,D28
/safaris/12-day-kilimanjaro-safari-culture,12-Day Trek Safari & Culture – Tanzania Safari,"Kilimanjaro + Safari + Culture, 12 Days — $2,750",48,145,low,0,0%,2026-07-18,D28
/safaris/7-day-tanzania-zanzibar,7-Day Safari + Zanzibar – Tanzania Safari,"Tanzania Safari + Zanzibar, 7 Days — $2,879",43,141,low,0,0%,2026-07-18,D28
/safaris/10-day-safari-zanzibar-adventure,10-Day Safari + Zanzibar – Tanzania Safari,"Safari & Zanzibar Adventure, 10 Days — $4,890",45,147,low,0,0%,2026-07-18,D28
/safaris/13-day-romance-honeymoon,7-Day Honeymoon – Tanzania Safari (swapped in for the $0 stub 7-day-ultimate-honeymoon),"Tanzania Honeymoon Safari, 13 Days — $5,646",43,138,low,0,0%,2026-07-18,D28
