keyword,intent,cluster,target_url,page_status,gsc_impressions,priority,market_notes
best kilimanjaro route,informational,Kilimanjaro Routes,/guides/best-kilimanjaro-route,existing (pillar D15),,1,Highest-intent info query in niche; the cluster hub
kilimanjaro routes compared,informational,Kilimanjaro Routes,/guides/best-kilimanjaro-route,existing (pillar D15),,1,Secondary target for the pillar
which kilimanjaro route is best,informational,Kilimanjaro Routes,/guides/best-kilimanjaro-route,existing (pillar D15),,2,Long-tail into pillar
machame route,informational,Kilimanjaro Routes,/guides/machame-route,existing (upgrade D16),,1,Highest-volume single-route keyword
machame route 7 days,commercial,Kilimanjaro Routes,/kilimanjaro/7-day-machame-route,existing,,1,Transactional; best-selling climb
machame route success rate,informational,Kilimanjaro Routes,/guides/machame-route,existing (upgrade D16),,2,
lemosho route,informational,Kilimanjaro Routes,/guides/lemosho-route,existing (upgrade D17),,1,
lemosho route 8 days,commercial,Kilimanjaro Routes,/kilimanjaro/8-day-lemosho-route,existing,,1,
machame vs lemosho,informational,Kilimanjaro Routes,/guides/machame-vs-lemosho,new (D17),,1,Near-transactional comparison intent
marangu route,informational,Kilimanjaro Routes,/guides/marangu-route,existing,,2,Budget/huts route
marangu route 6 days,commercial,Kilimanjaro Routes,/kilimanjaro/6-day-marangu-route,existing,,2,
northern circuit route,informational,Kilimanjaro Routes,/guides/northern-circuit-route,existing,,2,Highest success-rate route
northern circuit 9 days,commercial,Kilimanjaro Routes,/kilimanjaro/9-day-northern-circuit,existing,,2,
rongai route,informational,Kilimanjaro Routes,/kilimanjaro/6-day-rongai-route,existing,,3,Thin content; route page only
umbwe route,informational,Kilimanjaro Routes,/kilimanjaro/6-day-umbwe-route,existing,,3,Hardest/steep route
kilimanjaro success rate,informational,Kilimanjaro Routes,/guides/kilimanjaro-success-rate,existing (upgrade D18),,1,Link-worthy data asset
kilimanjaro summit success rate by route,informational,Kilimanjaro Routes,/guides/kilimanjaro-success-rate,existing (upgrade D18),,2,
how much does it cost to climb kilimanjaro,commercial,Kilimanjaro Planning,/guides/how-much-to-climb-kilimanjaro,existing (upgrade D19),,1,Link-worthy cost transparency asset
kilimanjaro cost,commercial,Kilimanjaro Planning,/guides/how-much-to-climb-kilimanjaro,existing (upgrade D19),,1,
climb mount kilimanjaro,commercial,Kilimanjaro Planning,/kilimanjaro,existing,105,1,Top real GSC query (105 impr); category page
climb kilimanjaro guide,informational,Kilimanjaro Planning,/guides/climbing-kilimanjaro-guide,existing,40,1,Real GSC query (40 impr)
climbing kilimanjaro,informational,Kilimanjaro Planning,/guides/climbing-kilimanjaro-guide,existing,,1,
how long to climb kilimanjaro,informational,Kilimanjaro Planning,/guides/how-long-to-climb-kilimanjaro,existing,,2,
