Date,Template,URL,Device,Source,Perf score,FCP (s),LCP (s),TBT (ms),CLS,Speed Index (s),Notes
2026-07-11,Homepage,https://www.trusttourstz.com/,Mobile,Lighthouse 13 local,86,1.3,3.7,200,0.000,3.1,Day 5 baseline
2026-07-11,Tour page (7-day Machame),https://www.trusttourstz.com/kilimanjaro/7-day-machame-route,Mobile,Lighthouse 13 local,90,1.3,3.3,145,0.000,3.0,Day 5 baseline
2026-07-11,Guide (Climbing Kilimanjaro),https://www.trusttourstz.com/guides/climbing-kilimanjaro-guide,Mobile,Lighthouse 13 local,83,1.2,4.1,181,0.000,3.3,Day 5 baseline
2026-07-11,Listing (/kilimanjaro),https://www.trusttourstz.com/kilimanjaro,Mobile,Lighthouse 13 local,79,1.1,4.6,227,0.000,2.8,Day 5 baseline
2026-07-11,Homepage,https://www.trusttourstz.com/,Desktop,Lighthouse 13 local,99,0.5,0.7,0,0.000,1.0,Day 5 baseline
2026-07-11,Tour page (7-day Machame),https://www.trusttourstz.com/kilimanjaro/7-day-machame-route,Desktop,Lighthouse 13 local,99,0.5,0.6,0,0.000,1.2,Day 5 baseline
2026-07-11,Guide (Climbing Kilimanjaro),https://www.trusttourstz.com/guides/climbing-kilimanjaro-guide,Desktop,Lighthouse 13 local,99,0.4,0.7,0,0.000,1.0,Day 5 baseline
2026-07-11,Listing (/kilimanjaro),https://www.trusttourstz.com/kilimanjaro,Desktop,Lighthouse 13 local,99,0.3,0.8,0,0.000,0.7,Day 5 baseline
2026-07-11,Homepage,https://www.trusttourstz.com/,Mobile,PageSpeed Insights (user run),70,2.7,6.1,110,0,4.9,Reference: PSI slow-4G is stricter than local
2026-07-11,Homepage,https://www.trusttourstz.com/,Desktop,PageSpeed Insights (user run),99,0.4,0.7,0,0,1.2,Reference
